C1		バックグラウンド		理論プロファイル	
2θ(°)	強度(Counts)	2θ(°)	強度(Counts)	2θ(°)	強度(Counts)
1.048	39955.6	1.048	1.786711E-05	1.048	27293.07
1.05	38159.5	1.05	1.786711E-05	1.05	26795.39
1.052	38379	1.052	1.786711E-05	1.052	26321.08
1.054	37942.1	1.054	1.786711E-05	1.054	25870
1.056	36750.4	1.056	1.786711E-05	1.056	25441.55
1.058	36692.7	1.058	1.786711E-05	1.058	25034.71
1.06	34396.8	1.06	1.786711E-05	1.06	24648.05
1.062	34044.4	1.062	1.786711E-05	1.062	24279.76
1.064	32541.1	1.064	1.786711E-05	1.064	23927.73
1.066	32566.9	1.066	1.786711E-05	1.066	23589.58
1.068	31706.9	1.068	1.786711E-05	1.068	23262.78
1.07	29101.5	1.07	1.786711E-05	1.07	22944.68
1.072	30218.1	1.072	1.786711E-05	1.072	22632.59
1.074	29962.2	1.074	1.786711E-05	1.074	22323.9
1.076	28698.6	1.076	1.786711E-05	1.076	22016.12
1.078	26685.5	1.078	1.786711E-05	1.078	21706.96
1.08	28094.4	1.08	1.786711E-05	1.08	21394.41
1.082	28372.3	1.082	1.786711E-05	1.082	21076.77
1.084	27791.2	1.084	1.786711E-05	1.084	20752.72
1.086	26380.5	1.086	1.786711E-05	1.086	20421.35
1.088	27652.1	1.088	1.786711E-05	1.088	20082.16
1.09	27493	1.09	1.786711E-05	1.09	19735.09
1.092	25788.6	1.092	1.786711E-05	1.092	19380.52
1.094	25768.4	1.094	1.786711E-05	1.094	19019.23
1.096	25523.5	1.096	1.786711E-05	1.096	18652.38
1.098	24694.6	1.098	1.786711E-05	1.098	18281.46
1.1	24750.2	1.1	1.786711E-05	1.1	17908.27
1.102	24574.5	1.102	1.786711E-05	1.102	17534.82
1.104	25240.1	1.104	1.786711E-05	1.104	17163.28
1.106	23059.8	1.106	1.786711E-05	1.106	16795.91
1.108	24030.2	1.108	1.786711E-05	1.108	16435.02
1.11	22684.4	1.11	1.786711E-05	1.11	16082.83
1.112	23189.5	1.112	1.786711E-05	1.112	15741.48
1.114	22563.1	1.114	1.786711E-05	1.114	15412.89
1.116	21432.7	1.116	1.786711E-05	1.116	15098.77
1.118	20924.2	1.118	1.786711E-05	1.118	14800.52
1.12	21707.5	1.12	1.786711E-05	1.12	14519.22
1.122	21030.7	1.122	1.786711E-05	1.122	14255.57
1.124	19899.8	1.124	1.786711E-05	1.124	14009.9
1.126	18755.3	1.126	1.786711E-05	1.126	13782.15
1.128	19879.3	1.128	1.786711E-05	1.128	13571.86
1.13	18164.5	1.13	1.786711E-05	1.13	13378.22
1.132	17134.5	1.132	1.786711E-05	1.132	13200.03
1.134	17285.4	1.134	1.786711E-05	1.134	13035.81
1.136	16715.3	1.136	1.786711E-05	1.136	12883.81
1.138	16786.6	1.138	1.786711E-05	1.138	12742.03
1.14	15062.8	1.14	1.786711E-05	1.14	12608.33
1.142	14548.4	1.142	1.786711E-05	1.142	12480.45
1.144	16199	1.144	1.786711E-05	1.144	12356.12
1.146	14085.2	1.146	1.786711E-05	1.146	12233.05
1.148	14599.1	1.148	1.786711E-05	1.148	12109.05
1.15	13843.9	1.15	1.786711E-05	1.15	11982.07
1.152	14479.5	1.152	1.786711E-05	1.152	11850.27
