,A2,,,A9,,,B3,,,B4,,C1,C2,C4,C5,è„,â∫
0.624,2194854.8,,0.624,9733979,,0.624,437747.5,,0.624,1865776.5,,1080220.6,362041.1,1184023.4,3656.9,2074889.8,2132624
0.628,2200915.8,,0.628,9933520,,0.628,435241.8,,0.628,1850966.5,,1074090.6,359705.3,1168178.4,3404.3,2055627.6,2120267.8
0.632,2194554.5,,0.632,9798123,,0.632,431026.6,,0.632,1856501.2,,1100003.9,358701,1158705.5,3193.7,2052141.9,2103361.5
0.636,2204399.5,,0.636,9855379,,0.636,435422.6,,0.636,1851056.4,,1101996.8,358760.2,1172347.1,2917.8,2049047.4,2080667.5
0.64,2201124.2,,0.64,9862967,,0.64,428435.2,,0.64,1843991.9,,1091772.1,358358.3,1182018.9,2840.7,2016568.6,2072432.6
0.644,2182621.2,,0.644,9860744,,0.644,430159.6,,0.644,1837893.6,,1058082.9,356480.5,1154607.5,2665.6,1999946.6,2048399.2
0.648,2182549.2,,0.648,9972083,,0.648,430883.8,,0.648,1821752.6,,1072353.6,354784.2,1163650.2,2454.5,1994833.8,2018712.8
0.652,2185313,,0.652,10029632,,0.652,429581.3,,0.652,1829879.8,,1051801.8,352975.7,1172756.2,2373.2,1971829.1,2005746.6
0.656,2166768.8,,0.656,9782739,,0.656,426851.5,,0.656,1815000,,1074248.2,352926.1,1162144.6,2138,1952088.1,1991544.6
0.66,2160919,,0.66,9788751,,0.66,426197,,0.66,1795562.5,,1065663.4,351333,1144772,2034.2,1940410.9,1960661.4
0.664,2158545.5,,0.664,10116278,,0.664,422883.6,,0.664,1791114.6,,1045294.4,348648.5,1150579.5,1948.9,1926272.2,1940166.6
0.668,2131829,,0.668,9985620,,0.668,417618.5,,0.668,1775354.2,,1052740.6,345501.3,1152805,1812.5,1899136.9,1927184.6
0.672,2133249.8,,0.672,9838628,,0.672,416287.4,,0.672,1767808.6,,1041254.6,342544.4,1138805.9,1695.4,1870495,1902384.8
0.676,2123879.5,,0.676,9554487,,0.676,408980.8,,0.676,1748360.5,,1045853.7,339489.9,1125281.6,1593.4,1856190.4,1898272.1
0.68,2107332.5,,0.68,9857091,,0.68,408428.9,,0.68,1729845,,1003963.4,335398.3,1129253.6,1607.6,1834672.2,1866933.1
0.684,2083699.8,,0.684,9753975,,0.684,405672.7,,0.684,1728033.9,,1020211.2,333277.6,1098339.8,1481.4,1797094.4,1830614.5
0.688,2079641,,0.688,9722728,,0.688,403771.8,,0.688,1700327.6,,1007983,330563.6,1134657.2,1402.8,1784141,1802222.1
0.692,2064484.2,,0.692,9517446,,0.692,393923.5,,0.692,1671646.6,,989492.8,325163.9,1081412.1,1336.8,1754046.4,1778240.5
0.696,2045812.1,,0.696,9445036,,0.696,391168.3,,0.696,1659430.1,,978714.1,322185.4,1101969.2,1295,1737211.9,1750199.1
0.7,2029133,,0.7,9375558,,0.7,385926.4,,0.7,1617673,,983759.3,316170.5,1073757.6,1238.2,1701671.4,1727295.9
0.704,1999837.8,,0.704,9489538,,0.704,377369.1,,0.704,1609204.4,,947451.3,311938.6,1056995,1120.4,1669855.6,1692758.8
0.708,1975433.2,,0.708,9186924,,0.708,377159.7,,0.708,1585771.5,,931669.8,305311.4,1054540,1093.7,1643864.2,1670629.5
0.712,1958851.4,,0.712,9254951,,0.712,368883.6,,0.712,1541325.9,,912064.1,299489.1,1027687,986.8,1612329.6,1625353.9
0.716,1915328.6,,0.716,9043919,,0.716,358551.1,,0.716,1514052,,899440.6,294008.5,1008204,939.2,1576477.2,1600916.6
0.72,1894919.5,,0.72,8878537,,0.72,352408.5,,0.72,1489951,,883597.7,287589.6,979197.3,914.2,1545342.4,1568019.2
0.724,1863333.1,,0.724,8639514,,0.724,343888.1,,0.724,1441645.2,,858880.3,281107.2,971681.3,893.3,1495014.1,1536962.6
0.728,1819266,,0.728,8712018,,0.728,336018,,0.728,1417956.6,,831015.4,273196.5,936796.4,797.3,1471702.9,1494607.1
0.732,1783205.4,,0.732,8440109,,0.732,326715.2,,0.732,1384216.6,,814821.6,265521.3,908370.1,767.3,1431213.4,1452406
